id	class	method	parent	flags	annotations	visibility	non-primitive-return	path
1	org.apache.commons.compress.archivers.zip.AbstractUnicodeExtraField	AbstractUnicodeExtraField()	0	[]		protected	false	/home/nima/Developer/taint-benchmarks/commons-compress/src/main/java/org/apache/commons/compress/archivers/zip/AbstractUnicodeExtraField.java
2	org.apache.commons.compress.archivers.zip.AbstractUnicodeExtraField	AbstractUnicodeExtraField(java.lang.String,byte[])	0	[false, false]		protected	false	/home/nima/Developer/taint-benchmarks/commons-compress/src/main/java/org/apache/commons/compress/archivers/zip/AbstractUnicodeExtraField.java
3	org.apache.commons.compress.archivers.zip.AbstractUnicodeExtraField	AbstractUnicodeExtraField(java.lang.String,byte[],int,int)	0	[false, false, false, false]		protected	false	/home/nima/Developer/taint-benchmarks/commons-compress/src/main/java/org/apache/commons/compress/archivers/zip/AbstractUnicodeExtraField.java
4	org.apache.commons.compress.archivers.zip.AbstractUnicodeExtraField	assembleData()	0	[]		private	false	/home/nima/Developer/taint-benchmarks/commons-compress/src/main/java/org/apache/commons/compress/archivers/zip/AbstractUnicodeExtraField.java
5	org.apache.commons.compress.archivers.zip.AbstractUnicodeExtraField	getCentralDirectoryData()	6	[]	java.lang.Override	public	true	/home/nima/Developer/taint-benchmarks/commons-compress/src/main/java/org/apache/commons/compress/archivers/zip/AbstractUnicodeExtraField.java
7	org.apache.commons.compress.archivers.zip.AbstractUnicodeExtraField	getCentralDirectoryLength()	8	[]	java.lang.Override	public	true	/home/nima/Developer/taint-benchmarks/commons-compress/src/main/java/org/apache/commons/compress/archivers/zip/AbstractUnicodeExtraField.java
9	org.apache.commons.compress.archivers.zip.AbstractUnicodeExtraField	getLocalFileDataData()	10	[]	java.lang.Override	public	true	/home/nima/Developer/taint-benchmarks/commons-compress/src/main/java/org/apache/commons/compress/archivers/zip/AbstractUnicodeExtraField.java
11	org.apache.commons.compress.archivers.zip.AbstractUnicodeExtraField	getLocalFileDataLength()	12	[]	java.lang.Override	public	true	/home/nima/Developer/taint-benchmarks/commons-compress/src/main/java/org/apache/commons/compress/archivers/zip/AbstractUnicodeExtraField.java
13	org.apache.commons.compress.archivers.zip.AbstractUnicodeExtraField	getNameCRC32()	0	[]		public	false	/home/nima/Developer/taint-benchmarks/commons-compress/src/main/java/org/apache/commons/compress/archivers/zip/AbstractUnicodeExtraField.java
14	org.apache.commons.compress.archivers.zip.AbstractUnicodeExtraField	getUnicodeName()	0	[]		public	true	/home/nima/Developer/taint-benchmarks/commons-compress/src/main/java/org/apache/commons/compress/archivers/zip/AbstractUnicodeExtraField.java
15	org.apache.commons.compress.archivers.zip.AbstractUnicodeExtraField	parseFromCentralDirectoryData(byte[],int,int)	16	[false, false, false]	java.lang.Override	public	false	/home/nima/Developer/taint-benchmarks/commons-compress/src/main/java/org/apache/commons/compress/archivers/zip/AbstractUnicodeExtraField.java
17	org.apache.commons.compress.archivers.zip.AbstractUnicodeExtraField	parseFromLocalFileData(byte[],int,int)	18	[false, false, false]	java.lang.Override	public	false	/home/nima/Developer/taint-benchmarks/commons-compress/src/main/java/org/apache/commons/compress/archivers/zip/AbstractUnicodeExtraField.java
19	org.apache.commons.compress.archivers.zip.AbstractUnicodeExtraField	setNameCRC32(long)	0	[false]		public	false	/home/nima/Developer/taint-benchmarks/commons-compress/src/main/java/org/apache/commons/compress/archivers/zip/AbstractUnicodeExtraField.java
20	org.apache.commons.compress.archivers.zip.AbstractUnicodeExtraField	setUnicodeName(byte[])	0	[false]		public	false	/home/nima/Developer/taint-benchmarks/commons-compress/src/main/java/org/apache/commons/compress/archivers/zip/AbstractUnicodeExtraField.java
6	org.apache.commons.compress.archivers.zip.ZipExtraField	getCentralDirectoryData()	0	[]		public	true	/home/nima/Developer/taint-benchmarks/commons-compress/src/main/java/org/apache/commons/compress/archivers/zip/ZipExtraField.java
8	org.apache.commons.compress.archivers.zip.ZipExtraField	getCentralDirectoryLength()	0	[]		public	true	/home/nima/Developer/taint-benchmarks/commons-compress/src/main/java/org/apache/commons/compress/archivers/zip/ZipExtraField.java
21	org.apache.commons.compress.archivers.zip.ZipExtraField	getHeaderId()	0	[]		public	true	/home/nima/Developer/taint-benchmarks/commons-compress/src/main/java/org/apache/commons/compress/archivers/zip/ZipExtraField.java
10	org.apache.commons.compress.archivers.zip.ZipExtraField	getLocalFileDataData()	0	[]		public	true	/home/nima/Developer/taint-benchmarks/commons-compress/src/main/java/org/apache/commons/compress/archivers/zip/ZipExtraField.java
12	org.apache.commons.compress.archivers.zip.ZipExtraField	getLocalFileDataLength()	0	[]		public	true	/home/nima/Developer/taint-benchmarks/commons-compress/src/main/java/org/apache/commons/compress/archivers/zip/ZipExtraField.java
16	org.apache.commons.compress.archivers.zip.ZipExtraField	parseFromCentralDirectoryData(byte[],int,int)	0	[false, false, false]		public	false	/home/nima/Developer/taint-benchmarks/commons-compress/src/main/java/org/apache/commons/compress/archivers/zip/ZipExtraField.java
